Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted
Cat,2,Domestic Short Hair,Female,White,No Color,Small,Short,No,No,Healthy,0,4,Yes
Dog,3,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,No,Healthy,0,3,Yes
Cat,3,Domestic Medium Hair,Male,Black,White,Large,Medium,No,No,Healthy,0,6,Yes
Cat,12,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,4,No
Cat,5,Domestic Short Hair,Female,Brown,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,5,No
Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,50,14,Yes
Dog,2,German Shepherd Dog,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,4,Yes
Dog,48,Beagle,Male,Black,Brown,Small,Medium,Yes,Not Sure,Healthy,0,4,Yes
Dog,24,Labrador Retriever,Female,Black,No Color,Large,Short,Not Sure,Yes,Healthy,0,2,Yes
Dog,3,Field Spaniel,Male,White,No Color,Medium,Short,No,Not Sure,Healthy,0,9,No
Dog,2,Mixed Breed,Male,Cream,White,Medium,Short,No,No,Healthy,0,1,Yes
Dog,8,Mixed Breed,Male,Black,White,Medium,Medium,No,No,Healthy,0,2,Yes
Cat,5,Tabby,Male,Golden,White,Medium,Short,Yes,No,Healthy,0,1,Yes
Dog,6,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,2,Yes
Cat,39,Persian,Female,Gray,White,Large,Long,Not Sure,Not Sure,Healthy,0,2,No
Cat,4,Domestic Short Hair,Female,Golden,Gray,Medium,Short,No,Yes,Healthy,9,7,Yes
Cat,1,Abyssinian,Female,Black,White,Small,Short,Yes,No,Healthy,0,2,Yes
Cat,4,Domestic Medium Hair,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,12,Yes
Dog,2,Golden Retriever,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,4,Yes
Dog,7,Mixed Breed,Male,Black,Brown,Large,Long,Yes,No,Healthy,0,2,Yes
Cat,18,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,2,No
Cat,12,Domestic Short Hair,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,350,3,No
Dog,6,Terrier,Male,Brown,Cream,Medium,Medium,Yes,Yes,Healthy,0,7,Yes
Cat,2,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,Yes,Healthy,0,4,Yes
Dog,15,Mixed Breed,Male,Brown,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,4,Yes
Cat,1,Domestic Short Hair,Male,Golden,Gray,Medium,Short,No,No,Healthy,0,14,Yes
Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,4,No
Cat,13,Domestic Medium Hair,Male,Golden,Yellow,Large,Medium,No,No,Healthy,0,3,No
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,20,1,Yes
Dog,2,Mixed Breed,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,3,No
Cat,5,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,4,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes
Cat,3,Domestic Short Hair,Female,Yellow,White,Medium,Short,No,No,Healthy,0,3,Yes
Cat,2,Domestic Short Hair,Male,Golden,No Color,Small,Short,No,No,Healthy,0,1,No
Cat,1,Domestic Short Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,6,Yes
Cat,5,Persian,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,5,Yes
Dog,3,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,150,3,Yes
Cat,2,Singapura,Male,Golden,No Color,Medium,Short,No,No,Healthy,100,3,Yes
Cat,12,American Curl,Male,Black,Gray,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,No
Dog,8,Mixed Breed,Female,Black,No Color,Medium,Long,Not Sure,Not Sure,Healthy,0,5,Yes
Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,2,Yes
Cat,12,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,5,Yes
Cat,3,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,10,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,No
Dog,12,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,Not Sure,No,Healthy,0,3,No
Dog,1,Mixed Breed,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,2,Yes
Cat,1,Domestic Long Hair,Male,Black,White,Small,Long,No,No,Healthy,0,7,Yes
Cat,36,Persian,Female,Black,Brown,Medium,Long,No,Yes,Healthy,200,2,Yes
Dog,1,Mixed Breed,Male,Black,Golden,Medium,Short,No,Not Sure,Healthy,0,1,No
Dog,2,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,1,No
Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,Yes
Cat,3,Domestic Short Hair,Male,Black,Gray,Small,Medium,Yes,No,Healthy,0,1,No
Cat,10,Calico,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,2,No
Cat,10,Domestic Medium Hair,Male,Yellow,No Color,Large,Medium,Not Sure,Not Sure,Healthy,0,8,Yes
Cat,2,Domestic Short Hair,Female,Black,Gray,Small,Short,Yes,No,Healthy,0,5,Yes
Cat,2,Russian Blue,Female,Gray,White,Medium,Short,No,No,Healthy,50,8,Yes
Cat,3,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,2,Yes
Dog,5,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,No
Cat,4,Domestic Short Hair,Male,White,No Color,Medium,Short,No,Yes,Healthy,0,2,Yes
Dog,12,Spitz,Male,Brown,Cream,Small,Medium,Not Sure,Not Sure,Healthy,0,1,Yes
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,5,Yes
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,5,Yes
Cat,9,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,4,No
Dog,4,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,5,No
Dog,48,Jack Russell Terrier,Male,Brown,White,Small,Short,No,No,Healthy,0,3,Yes
Dog,8,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Not Sure,Healthy,0,5,No
Dog,1,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,2,Yes
Cat,2,Domestic Medium Hair,Female,White,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,4,Yes
Dog,2,Mixed Breed,Female,Brown,White,Large,Medium,Yes,No,Healthy,0,6,Yes
Dog,2,Yellow Labrador Retriever,Female,Brown,No Color,Medium,Short,Not Sure,No,Healthy,0,5,Yes
Dog,6,Mixed Breed,Female,White,No Color,Medium,Short,Yes,No,Healthy,0,4,No
Cat,12,Persian,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,4,Yes
Cat,4,Tortoiseshell,Female,Brown,Golden,Medium,Short,Yes,No,Healthy,0,5,Yes
Cat,4,Domestic Short Hair,Female,Gray,White,Small,Short,Yes,No,Healthy,0,6,Yes
Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes
Dog,12,Mixed Breed,Male,Brown,White,Small,Short,Not Sure,Not Sure,Healthy,0,1,No
Cat,2,Bengal,Male,Black,White,Large,Short,No,No,Healthy,90,5,Yes
Cat,5,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,Yes,No,Healthy,100,1,No
Dog,6,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,2,No
Dog,2,Mixed Breed,Female,Yellow,No Color,Medium,Medium,No,No,Healthy,0,13,Yes
Dog,36,Mixed Breed,Female,Brown,Cream,Large,Medium,No,Yes,Healthy,0,1,Yes
Cat,5,Domestic Short Hair,Male,Yellow,No Color,Medium,Short,Yes,Yes,Healthy,100,30,Yes
Cat,6,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Yes,Healthy,90,5,No
Dog,3,Terrier,Female,Black,Gray,Medium,Medium,Yes,Yes,Healthy,300,9,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes
Dog,12,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,3,No
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,100,4,Yes
Cat,2,Persian,Female,Yellow,White,Medium,Long,No,No,Healthy,600,7,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Not Sure,No,Healthy,0,5,Yes
Dog,3,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,Yes
Cat,2,Domestic Short Hair,Female,White,No Color,Small,Short,No,No,Healthy,0,5,Yes
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,9,Yes
Cat,60,Persian,Male,Golden,Cream,Medium,Long,Yes,Yes,Serious Injury,0,14,Yes
Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,4,Yes
Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Long,No,No,Healthy,0,3,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,10,Yes
Cat,24,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,Yes,Yes,Healthy,0,5,Yes
Dog,5,Labrador Retriever,Male,Yellow,No Color,Medium,Medium,Yes,Yes,Minor Injury,0,4,No
Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Medium,No,No,Healthy,50,5,Yes
Cat,6,Domestic Short Hair,Female,Gray,No Color,Medium,Medium,No,Yes,Minor Injury,0,4,No
Cat,10,Tabby,Male,Yellow,White,Medium,Short,Yes,Yes,Healthy,0,6,No
Dog,36,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Not Sure,Healthy,0,2,No
Cat,2,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,22,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,Yes
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,38,2,No
Dog,36,Mixed Breed,Male,Cream,White,Large,Medium,Yes,Not Sure,Healthy,0,1,No
Dog,2,Terrier,Male,Black,White,Medium,Short,No,No,Healthy,0,1,Yes
Dog,1,Mixed Breed,Male,White,No Color,Medium,Short,No,No,Healthy,0,2,Yes
Cat,24,Siamese,Female,Brown,White,Medium,Short,No,No,Healthy,0,13,Yes
Dog,60,Beagle,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,1,Yes
Cat,8,Domestic Short Hair,Male,Brown,No Color,Medium,Medium,Yes,Not Sure,Healthy,0,3,No
Cat,2,Domestic Short Hair,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,Yes
Cat,12,Domestic Long Hair,Female,White,No Color,Medium,Long,Yes,No,Healthy,200,6,No
Dog,48,Golden Retriever,Female,Golden,No Color,Large,Long,Yes,Yes,Healthy,0,3,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,3,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Small,Medium,Yes,No,Healthy,0,1,No
Cat,12,Domestic Medium Hair,Male,Golden,No Color,Medium,Medium,No,Yes,Minor Injury,0,3,No
Cat,3,Domestic Medium Hair,Female,Gray,White,Medium,Medium,Yes,No,Healthy,0,8,Yes
Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,Yes
Dog,8,Rottweiler,Female,Black,No Color,Large,Long,Yes,No,Healthy,1000,1,Yes
Cat,12,Domestic Short Hair,Female,Brown,Cream,Small,Short,Yes,Yes,Healthy,0,1,Yes
Dog,2,Terrier,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,250,4,Yes
Cat,2,Domestic Short Hair,Male,Black,Brown,Small,Short,No,No,Healthy,100,4,Yes
Dog,9,Husky,Female,Black,Golden,Medium,Medium,Yes,Yes,Healthy,200,14,Yes
Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Medium,No,No,Healthy,0,1,Yes
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,2,Yes
Dog,6,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,No
Cat,2,Siamese,Male,Brown,Cream,Small,Short,No,No,Healthy,0,1,Yes
Dog,36,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
Dog,24,Golden Retriever,Male,Golden,No Color,Large,Medium,Not Sure,Yes,Healthy,0,2,Yes
Dog,1,Mixed Breed,Male,White,No Color,Medium,Short,No,Not Sure,Healthy,0,5,Yes
Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,10,Yes
Cat,24,Domestic Short Hair,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,100,2,No
Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,7,Yes
Cat,2,Domestic Short Hair,Male,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,2,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,5,1,Yes
Cat,3,Domestic Long Hair,Female,Black,No Color,Medium,Long,No,No,Healthy,0,2,Yes
Dog,4,Labrador Retriever,Male,Brown,Golden,Medium,Medium,Yes,No,Healthy,0,25,Yes
Cat,2,Tabby,Female,Gray,No Color,Medium,Medium,No,No,Healthy,0,5,Yes
Cat,5,Domestic Short Hair,Female,Golden,No Color,Medium,Short,No,No,Healthy,60,2,Yes
Dog,12,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Not Sure,Healthy,0,0,No
Dog,1,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,1,Yes
Dog,24,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,100,2,Yes
Dog,12,Mixed Breed,Female,Cream,White,Medium,Short,Yes,Yes,Healthy,0,2,Yes
Cat,1,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,1,Yes
Dog,12,Shih Tzu,Male,Brown,Cream,Small,Medium,Not Sure,Not Sure,Healthy,0,2,Yes
Cat,4,Domestic Short Hair,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,1,Yes
Dog,72,Golden Retriever,Male,Golden,No Color,Large,Long,Yes,No,Healthy,0,2,Yes
Cat,36,Domestic Short Hair,Male,Brown,White,Large,Short,Yes,Yes,Healthy,0,5,Yes
Dog,6,Mixed Breed,Male,Black,Cream,Small,Short,Yes,No,Healthy,0,2,No
Dog,18,Poodle,Female,Brown,No Color,Small,Medium,No,Yes,Healthy,0,5,Yes
Cat,4,Domestic Medium Hair,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,5,Yes
Cat,12,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,100,3,No
Cat,2,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,Yes,Healthy,0,11,No
Cat,96,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,2,Yes
Dog,36,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,No
Dog,1,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,2,Yes
Cat,4,Domestic Short Hair,Male,Yellow,White,Small,Short,No,Yes,Healthy,0,5,Yes
Dog,2,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,1,No
Dog,72,Shih Tzu,Female,Golden,White,Small,Long,Yes,Yes,Healthy,0,1,Yes
Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,4,Yes
Dog,16,Shih Tzu,Male,Black,Brown,Small,Long,Yes,Yes,Healthy,180,4,Yes
Cat,6,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,0,10,Yes
Cat,12,Tortoiseshell,Female,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
Cat,2,Tuxedo,Female,Black,White,Small,Short,No,No,Healthy,0,1,Yes
Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,2,Yes
Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,4,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes
Dog,1,Miniature Pinscher,Female,Cream,White,Small,Short,No,No,Healthy,20,1,Yes
Cat,1,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,20,3,No
Dog,36,Poodle,Female,Cream,No Color,Small,Short,Yes,Yes,Healthy,0,1,No
Dog,72,Labrador Retriever,Male,Cream,No Color,Large,Medium,Yes,No,Healthy,0,6,Yes
Cat,9,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,No,Healthy,0,3,No
Dog,1,Mixed Breed,Male,Black,No Color,Small,Short,No,No,Healthy,0,5,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,1,Yes
Cat,3,Siamese,Male,Black,White,Small,Short,No,No,Healthy,0,2,Yes
Cat,5,Russian Blue,Male,Gray,No Color,Medium,Short,Yes,Yes,Healthy,150,3,No
Dog,1,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,1,Yes
Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,12,Yes
Cat,5,Maine Coon,Male,Black,White,Large,Medium,No,No,Healthy,50,5,Yes
Dog,6,Mixed Breed,Female,Brown,No Color,Large,Short,Yes,No,Healthy,0,5,No
Dog,4,German Shepherd Dog,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
Cat,2,Domestic Short Hair,Male,Black,Brown,Small,Short,No,No,Minor Injury,0,3,Yes
Cat,0,Domestic Medium Hair,Female,Golden,No Color,Small,Medium,No,No,Healthy,0,3,Yes
Dog,10,Rottweiler,Male,Black,No Color,Large,Short,Yes,No,Healthy,500,1,Yes
Dog,12,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,Yes
Dog,48,German Shepherd Dog,Male,Black,Golden,Large,Medium,Yes,No,Healthy,350,2,No
Cat,24,Tabby,Female,Brown,No Color,Medium,Short,Not Sure,Yes,Healthy,0,1,No
Dog,36,Australian Terrier,Male,Black,Golden,Small,Medium,Not Sure,No,Healthy,0,2,Yes
Dog,52,Bull Terrier,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,4,Yes
Dog,36,Terrier,Female,Black,Brown,Small,Short,Yes,Yes,Healthy,0,5,No
Cat,6,Domestic Short Hair,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,2,No
Dog,3,Mixed Breed,Male,Black,White,Small,Short,Yes,No,Healthy,0,1,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,50,2,Yes
Cat,23,Domestic Medium Hair,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes
Dog,1,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
Cat,36,Persian,Female,Brown,Yellow,Medium,Long,Yes,Yes,Healthy,350,1,No
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,1,Yes
Cat,1,Domestic Short Hair,Male,Yellow,Cream,Small,Short,No,No,Healthy,0,2,Yes
Dog,54,Shih Tzu,Female,White,No Color,Small,Long,Yes,Not Sure,Healthy,180,3,Yes
Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,50,2,No
Dog,1,Mixed Breed,Male,Black,Gray,Medium,Short,No,No,Healthy,0,8,Yes
Cat,4,Domestic Medium Hair,Male,Golden,White,Medium,Medium,No,No,Healthy,0,4,Yes
Cat,1,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,3,Yes
Cat,2,Domestic Short Hair,Female,Brown,Yellow,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,Yes
Dog,48,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
Cat,8,Domestic Medium Hair,Female,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,5,No
Dog,2,Mixed Breed,Male,Cream,White,Medium,Short,No,No,Healthy,0,3,Yes
Cat,12,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,4,No
Dog,4,Mixed Breed,Male,Black,Gray,Medium,Short,Yes,Yes,Healthy,200,1,Yes
Cat,3,Burmese,Male,Black,White,Medium,Medium,Yes,No,Healthy,15,3,Yes
Dog,1,Terrier,Female,Black,Golden,Medium,Short,No,No,Healthy,50,5,Yes
Dog,12,Mixed Breed,Male,Black,White,Medium,Medium,Yes,Yes,Minor Injury,0,5,Yes
Cat,14,Domestic Short Hair,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,0,2,No
Cat,2,Oriental Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,1,Yes
Cat,2,Domestic Medium Hair,Male,Cream,No Color,Medium,Medium,No,No,Healthy,0,2,Yes
Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,No
Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,7,Yes
Cat,9,Domestic Medium Hair,Female,Cream,White,Medium,Medium,No,No,Healthy,0,2,Yes
Dog,6,Pit Bull Terrier,Female,Black,White,Medium,Short,Yes,No,Healthy,0,3,Yes
Dog,12,Mixed Breed,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Minor Injury,0,3,No
Dog,8,Doberman Pinscher,Male,Brown,No Color,Large,Short,Not Sure,No,Healthy,0,6,No
Dog,3,Mixed Breed,Male,Cream,White,Medium,Short,No,No,Healthy,80,6,No
Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,No
Cat,2,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,2,No
Cat,6,Domestic Short Hair,Female,Gray,No Color,Small,Short,No,No,Healthy,0,3,Yes
Dog,7,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
Cat,2,Domestic Short Hair,Male,Gray,No Color,Medium,Short,No,No,Healthy,0,4,Yes
Dog,3,Miniature Pinscher,Male,Brown,No Color,Small,Short,Yes,No,Healthy,0,1,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,2,No
Cat,4,Domestic Short Hair,Female,Black,Gray,Small,Short,No,No,Healthy,0,2,Yes
Cat,10,Domestic Short Hair,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,100,1,No
Dog,7,Pug,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,1,2,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,4,Yes
Dog,12,Mixed Breed,Female,White,No Color,Large,Short,Yes,Yes,Healthy,0,0,No
Cat,12,Domestic Medium Hair,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,5,Yes
Dog,12,Mixed Breed,Female,Black,White,Large,Short,Yes,Yes,Healthy,0,5,No
Dog,12,Mixed Breed,Male,Brown,Cream,Medium,Medium,No,No,Healthy,0,3,Yes
Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes
Cat,3,Domestic Short Hair,Male,Gray,White,Small,Short,No,No,Healthy,0,8,Yes
Dog,7,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,0,No
Cat,3,Domestic Medium Hair,Female,Black,White,Medium,Medium,No,Not Sure,Healthy,0,4,No
Dog,1,Mixed Breed,Male,Black,White,Medium,Short,No,No,Healthy,50,4,Yes
Dog,1,Mixed Breed,Male,Cream,No Color,Small,Short,Yes,Yes,Healthy,0,1,Yes
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes
Dog,24,Pekingese,Male,Brown,No Color,Medium,Long,Yes,No,Healthy,400,1,Yes
Cat,7,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,6,Yes
Dog,2,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes
Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,1,Yes
Cat,4,Calico,Female,Brown,Yellow,Medium,Medium,Yes,No,Healthy,150,1,Yes
Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,No
Dog,14,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,4,No
Dog,24,Poodle,Male,Cream,No Color,Small,Short,Yes,Not Sure,Healthy,600,3,No
Cat,42,Domestic Short Hair,Female,Black,Yellow,Small,Short,Yes,Yes,Healthy,0,4,Yes
Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,11,Yes
Dog,6,Mixed Breed,Male,Brown,White,Small,Short,Yes,No,Healthy,0,2,No
Dog,15,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,No
Cat,4,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,No,No,Healthy,0,2,Yes
Dog,42,Golden Retriever,Female,Yellow,No Color,Medium,Long,No,Yes,Minor Injury,0,0,Yes
Dog,1,Golden Retriever,Female,Yellow,No Color,Medium,Medium,Yes,No,Healthy,0,10,Yes
Cat,6,Siamese,Female,Brown,No Color,Medium,Short,No,No,Healthy,100,3,Yes
Dog,36,Labrador Retriever,Female,Black,No Color,Large,Medium,Not Sure,Yes,Healthy,0,5,Yes
Cat,1,Domestic Short Hair,Female,Black,Gray,Small,Short,No,No,Healthy,0,1,Yes
Cat,1,Domestic Medium Hair,Female,Yellow,No Color,Small,Medium,No,No,Healthy,0,1,Yes
Cat,1,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,No,No,Healthy,0,4,Yes
Dog,2,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,3,Yes
Cat,6,Persian,Male,Black,White,Large,Medium,No,No,Healthy,0,5,Yes
Cat,120,Domestic Short Hair,Female,Black,No Color,Small,Short,Not Sure,Yes,Healthy,0,1,No
Dog,2,Toy Fox Terrier,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes
Dog,10,Doberman Pinscher,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
Cat,4,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,1,No
Cat,1,Persian,Female,Golden,Cream,Medium,Long,No,No,Healthy,150,7,Yes
Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,3,Yes
Dog,2,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,3,No
