session_id,session_duration_seconds,pages_viewed,items_in_cart,cart_total_value,unique_categories_viewed,has_discount_code,is_returning_customer,device_type,traffic_source,hour_of_day,day_of_week,previous_purchases_count,avg_time_per_page_seconds,added_to_wishlist,used_search,converted
CART_01271,1171,12,1,138.23,3,0,0,desktop,paid,18,0,0,97.58,1,1,0
CART_01272,1366,29,3,269.52,5,1,0,mobile,direct,5,5,0,47.1,1,1,0
CART_01273,1511,23,1,88.08,2,0,1,mobile,paid,0,2,31,65.7,0,0,1
CART_01274,1520,4,2,86.49,4,0,1,tablet,organic,20,2,37,380.0,0,0,1
CART_01275,1636,8,3,392.72,5,0,0,mobile,organic,9,2,0,204.5,0,1,0
CART_01276,825,26,5,255.56,3,1,0,desktop,direct,8,4,0,31.73,1,1,0
CART_01277,1756,27,1,88.73,3,0,0,desktop,direct,2,1,0,65.04,1,1,1
CART_01278,1469,16,2,67.13,3,1,1,mobile,paid,16,1,39,91.81,0,0,1
CART_01279,1507,26,3,241.58,1,0,1,desktop,organic,8,6,44,57.96,1,0,0
CART_01280,917,19,2,196.95,3,0,0,tablet,email,11,5,0,48.26,0,0,0
CART_01281,1686,26,3,501.66,1,1,1,mobile,email,12,5,41,64.85,0,1,1
CART_01282,353,28,2,144.47,2,0,0,desktop,organic,2,0,0,12.61,0,0,0
CART_01283,69,22,6,831.79,1,0,0,mobile,email,23,4,0,3.14,0,0,1
CART_01284,1426,7,2,185.13,4,0,0,mobile,organic,12,0,0,203.71,0,1,0
CART_01285,859,15,4,669.83,4,0,0,mobile,organic,23,5,0,57.27,1,1,1
CART_01286,934,2,1,116.89,2,0,1,mobile,email,14,1,26,467.0,0,0,1
CART_01287,446,11,2,172.38,4,1,0,desktop,organic,21,6,0,40.55,1,0,1
CART_01288,1637,1,1,29.87,3,0,0,mobile,direct,10,6,0,1637.0,0,1,1
CART_01289,1705,27,1,36.25,3,1,0,tablet,organic,11,5,0,63.15,0,0,0
CART_01290,1385,23,1,168.57,3,0,0,desktop,direct,15,6,0,60.22,1,0,1
CART_01291,1125,11,2,148.48,3,0,1,mobile,organic,0,2,30,102.27,0,1,0
CART_01292,272,14,9,1516.33,3,0,0,desktop,organic,8,0,0,19.43,0,0,1
CART_01293,65,19,1,85.32,3,1,0,mobile,direct,20,0,0,3.42,1,1,1
CART_01294,1794,23,2,103.21,3,1,1,desktop,direct,11,3,11,78.0,1,1,0
CART_01295,152,20,2,289.66,3,0,0,desktop,paid,11,2,0,7.6,0,0,0
CART_01296,909,15,1,148.66,1,1,1,mobile,direct,16,0,16,60.6,0,0,1
CART_01297,204,25,1,80.78,3,1,1,desktop,paid,16,0,48,8.16,0,1,0
CART_01298,1462,11,1,133.77,1,0,0,mobile,organic,14,0,0,132.91,1,1,0
CART_01299,1106,12,1,158.59,3,0,0,mobile,organic,3,5,0,92.17,1,1,0
CART_01300,1460,14,2,147.26,4,0,1,mobile,paid,17,0,28,104.29,0,1,1
CART_01301,920,26,2,81.67,3,0,0,desktop,direct,4,0,0,35.38,0,1,1
CART_01302,845,9,2,40.59,4,0,1,desktop,direct,18,0,16,93.89,0,1,0
CART_01303,96,9,3,106.54,1,0,0,mobile,paid,17,0,0,10.67,0,1,0
CART_01304,530,11,3,329.21,5,0,0,desktop,direct,1,2,0,48.18,1,0,0
CART_01305,828,30,4,602.33,5,0,0,desktop,organic,2,1,0,27.6,0,1,0
CART_01306,861,4,2,277.47,4,0,0,mobile,paid,1,3,0,215.25,1,1,0
CART_01307,1075,23,2,99.61,4,0,1,desktop,direct,3,4,15,46.74,0,0,1
CART_01308,305,22,5,774.7,1,1,1,desktop,organic,17,6,46,13.86,1,1,1
CART_01309,1305,22,3,357.26,3,1,1,desktop,direct,2,1,4,59.32,0,0,1
CART_01310,938,19,2,357.71,2,0,0,desktop,paid,0,5,0,49.37,1,1,0
CART_01311,1763,27,3,60.12,1,0,0,desktop,organic,9,4,0,65.3,0,0,1
CART_01312,497,30,1,99.67,3,0,0,mobile,email,0,4,0,16.57,0,1,1
CART_01313,1717,3,2,186.18,2,0,0,mobile,organic,19,3,0,572.33,0,1,1
CART_01314,573,19,5,631.33,2,0,0,mobile,organic,4,3,0,30.16,0,0,0
CART_01315,746,19,2,118.15,2,0,1,tablet,paid,18,3,43,39.26,0,0,1
CART_01316,1675,22,1,95.44,3,0,0,mobile,paid,11,0,0,76.14,0,0,0
CART_01317,1330,10,3,242.09,1,0,0,desktop,direct,9,6,0,133.0,0,0,0
CART_01318,659,17,2,117.66,2,1,1,desktop,email,3,3,16,38.76,1,0,1
CART_01319,1139,18,4,328.38,2,1,0,mobile,direct,7,2,0,63.28,0,0,0
CART_01320,829,9,5,188.4,4,1,0,mobile,paid,19,4,0,92.11,0,1,1
CART_01321,1569,29,10,336.36,6,1,1,mobile,organic,20,6,5,54.1,0,0,1
CART_01322,20,14,1,93.39,3,1,0,mobile,paid,10,4,0,1.43,0,0,0
CART_01323,1556,9,5,372.26,3,0,0,desktop,direct,13,2,0,172.89,0,0,0
CART_01324,149,28,3,251.11,4,0,0,desktop,organic,23,0,0,5.32,0,0,0
CART_01325,1513,18,2,43.8,1,0,1,desktop,paid,3,2,17,84.06,0,0,1
CART_01326,827,6,1,68.86,3,0,1,desktop,organic,21,4,34,137.83,0,1,0
CART_01327,1057,10,3,317.03,4,0,0,desktop,paid,10,2,0,105.7,0,0,0
CART_01328,1411,20,1,37.24,2,1,0,desktop,organic,11,1,0,70.55,0,1,0
CART_01329,146,24,2,169.42,2,0,1,mobile,organic,12,1,45,6.08,0,0,1
CART_01330,134,20,2,138.13,4,0,1,desktop,organic,20,4,46,6.7,1,0,1
CART_01331,1417,13,1,166.88,3,0,1,tablet,organic,13,3,34,109.0,0,0,0
CART_01332,1791,14,3,198.82,3,0,1,mobile,organic,0,4,28,127.93,0,1,1
CART_01333,79,20,1,98.56,3,1,0,desktop,email,12,3,0,3.95,0,1,0
CART_01334,1315,13,3,71.83,3,0,0,mobile,paid,0,5,0,101.15,0,0,0
CART_01335,1654,25,1,44.87,3,0,0,desktop,organic,15,2,0,66.16,0,0,0
CART_01336,224,23,1,44.18,1,0,0,desktop,organic,8,4,0,9.74,0,1,0
CART_01337,991,4,5,517.9,5,0,0,tablet,organic,17,1,0,247.75,0,0,0
CART_01338,1662,1,2,289.25,3,0,1,desktop,email,8,6,37,1662.0,0,1,1
CART_01339,534,17,5,119.11,2,0,0,mobile,direct,13,2,0,31.41,0,1,0
CART_01340,1321,27,2,145.62,2,0,0,desktop,paid,9,1,0,48.93,0,1,1
CART_01341,569,25,4,298.94,1,1,0,desktop,paid,20,2,0,22.76,0,1,1
CART_01342,416,5,4,110.62,2,0,0,desktop,email,17,4,0,83.2,0,1,0
CART_01343,917,15,3,531.73,4,0,0,mobile,email,20,5,0,61.13,0,1,0
CART_01344,1698,6,2,155.24,1,0,0,mobile,email,17,0,0,283.0,0,1,0
CART_01345,87,7,1,132.94,3,0,1,tablet,direct,23,4,25,12.43,0,1,1
CART_01346,1776,2,1,65.42,3,0,1,desktop,organic,22,6,40,888.0,0,1,1
CART_01347,591,6,4,287.92,3,0,0,mobile,email,8,3,0,98.5,0,1,1
CART_01348,465,20,3,280.18,4,0,0,desktop,email,21,5,0,23.25,0,1,0
CART_01349,1048,15,2,78.54,4,0,0,desktop,organic,19,4,0,69.87,0,0,0
CART_01350,144,20,5,705.58,3,0,0,mobile,direct,4,6,0,7.2,0,0,0
CART_01351,1512,28,1,148.69,3,0,1,desktop,organic,5,2,29,54.0,0,0,1
CART_01352,1642,19,1,53.85,1,1,1,desktop,paid,17,3,36,86.42,1,0,1
CART_01353,1074,28,1,43.45,1,0,0,mobile,email,4,0,0,38.36,0,1,1
CART_01354,964,13,1,129.12,3,0,1,mobile,email,20,4,12,74.15,1,1,0
CART_01355,1694,3,1,16.85,3,1,0,desktop,paid,1,5,0,564.67,0,1,1
CART_01356,1566,17,2,58.07,1,0,0,tablet,paid,17,5,0,92.12,0,0,0
CART_01357,27,2,4,581.47,2,0,1,desktop,paid,12,1,27,13.5,0,1,1
CART_01358,172,27,3,232.7,3,1,0,mobile,organic,21,3,0,6.37,0,1,1
CART_01359,204,23,1,158.14,3,0,1,tablet,organic,9,0,1,8.87,0,1,0
CART_01360,1286,25,5,562.97,4,1,0,mobile,paid,17,6,0,51.44,0,1,1
CART_01361,1293,19,1,134.73,3,1,0,mobile,paid,16,1,0,68.05,0,0,0
CART_01362,1372,22,1,102.31,3,0,0,mobile,paid,11,6,0,62.36,0,1,0
CART_01363,504,20,5,94.28,2,1,1,desktop,paid,22,6,30,25.2,1,1,0
CART_01364,50,13,2,317.98,3,0,0,tablet,paid,18,2,0,3.85,0,1,0
CART_01365,963,4,2,350.6,4,0,0,desktop,organic,4,3,0,240.75,0,0,0
CART_01366,316,18,3,458.22,3,1,0,desktop,organic,4,3,0,17.56,0,1,1
CART_01367,1468,26,2,178.26,3,0,1,tablet,organic,3,6,39,56.46,0,0,0
CART_01368,278,17,1,86.79,1,0,0,mobile,direct,11,3,0,16.35,1,0,0
CART_01369,1462,30,1,80.88,3,0,0,mobile,direct,6,6,0,48.73,0,1,1
CART_01370,1496,11,1,107.4,3,1,0,mobile,organic,16,1,0,136.0,1,1,1
CART_01371,1130,30,2,158.53,3,1,1,mobile,organic,17,5,29,37.67,1,0,0
CART_01372,969,28,7,810.03,1,0,0,mobile,paid,13,0,0,34.61,0,1,0
CART_01373,298,19,3,71.35,2,1,1,mobile,direct,18,2,24,15.68,0,0,1
CART_01374,1195,17,8,234.34,3,0,1,mobile,direct,20,1,31,70.29,0,1,0
CART_01375,289,12,1,156.48,3,0,0,mobile,paid,13,6,0,24.08,0,0,0
CART_01376,656,26,1,93.23,3,1,0,desktop,paid,2,0,0,25.23,0,0,0
CART_01377,979,3,2,255.92,3,1,1,desktop,direct,11,3,23,326.33,0,0,1
CART_01378,850,2,5,422.06,3,0,0,desktop,organic,14,1,0,425.0,0,0,0
CART_01379,641,18,6,588.35,2,0,1,tablet,email,20,6,46,35.61,0,0,1
CART_01380,586,30,1,149.69,3,1,0,mobile,organic,11,0,0,19.53,0,0,1
CART_01381,702,30,1,20.61,3,1,1,desktop,direct,23,0,14,23.4,0,0,1
CART_01382,1059,25,1,31.52,3,1,0,desktop,organic,10,6,0,42.36,0,1,1
CART_01383,851,1,3,128.25,5,0,0,desktop,organic,8,5,0,851.0,0,1,0
CART_01384,662,29,3,135.21,5,0,0,tablet,email,13,6,0,22.83,0,1,0
CART_01385,730,6,1,133.71,3,0,0,mobile,organic,19,2,0,121.67,0,1,1
CART_01386,1147,20,1,36.31,1,0,1,mobile,paid,11,5,32,57.35,0,0,1
CART_01387,1293,22,8,499.96,2,0,1,desktop,organic,22,4,49,58.77,0,1,1
CART_01388,1577,23,2,197.14,3,1,1,tablet,email,3,1,9,68.57,0,0,0
CART_01389,518,25,2,144.22,3,0,1,desktop,organic,12,0,40,20.72,0,1,1
CART_01390,897,19,1,18.17,3,1,0,mobile,email,15,2,0,47.21,0,0,1
CART_01391,466,23,1,127.24,3,1,0,mobile,paid,22,2,0,20.26,0,1,0
CART_01392,36,11,4,163.74,2,1,1,mobile,organic,15,1,26,3.27,0,1,0
CART_01393,1212,6,1,103.64,1,0,1,desktop,organic,4,1,9,202.0,0,0,0
CART_01394,883,29,1,21.57,3,1,1,mobile,direct,17,4,7,30.45,0,0,0
CART_01395,929,13,5,147.92,2,0,0,mobile,organic,21,2,0,71.46,0,1,0
CART_01396,943,18,10,1068.2,3,0,0,mobile,direct,18,5,0,52.39,0,1,0
CART_01397,1666,22,6,327.87,2,0,0,mobile,organic,11,2,0,75.73,0,1,0
CART_01398,931,30,3,107.41,1,1,1,tablet,email,22,6,30,31.03,0,1,1
CART_01399,370,22,2,230.64,1,0,1,desktop,organic,16,4,28,16.82,0,0,0
CART_01400,914,17,2,285.02,2,0,0,desktop,paid,23,4,0,53.76,0,0,0
CART_01401,1158,13,1,128.97,3,1,0,mobile,email,10,1,0,89.08,1,0,0
CART_01402,336,20,1,176.55,3,0,0,desktop,email,16,2,0,16.8,0,1,1
CART_01403,1564,24,10,377.87,4,1,0,desktop,direct,19,2,0,65.17,1,0,0
CART_01404,201,9,3,121.97,3,0,0,desktop,organic,23,1,0,22.33,0,0,0
CART_01405,1253,19,7,1209.83,6,1,0,desktop,organic,20,5,0,65.95,1,1,1
CART_01406,288,28,3,118.89,2,0,1,tablet,organic,4,5,14,10.29,0,0,0
CART_01407,707,14,3,294.15,1,0,1,mobile,email,1,2,46,50.5,0,1,0
CART_01408,216,19,2,161.3,4,0,0,tablet,paid,0,5,0,11.37,1,1,1
CART_01409,631,16,3,412.44,4,0,0,mobile,email,18,5,0,39.44,1,0,0
CART_01410,1289,3,3,451.48,4,0,1,mobile,direct,6,0,2,429.67,1,1,1
CART_01411,825,27,1,153.8,3,0,1,mobile,paid,7,5,4,30.56,0,1,0
CART_01412,1614,10,1,65.03,3,0,1,mobile,organic,12,1,37,161.4,1,0,0
CART_01413,1258,21,2,32.82,4,1,0,mobile,organic,12,1,0,59.9,1,0,0
CART_01414,301,22,1,144.66,3,0,0,mobile,email,8,5,0,13.68,0,0,1
CART_01415,1236,16,6,618.46,6,0,0,desktop,paid,4,5,0,77.25,0,0,0
CART_01416,1166,7,3,175.52,3,0,1,mobile,paid,9,3,46,166.57,0,0,0
CART_01417,1689,7,1,55.51,1,0,1,desktop,organic,11,6,24,241.29,0,1,0
CART_01418,1510,25,1,157.49,3,0,0,mobile,email,10,6,0,60.4,0,1,0
CART_01419,1321,29,1,142.39,3,0,0,desktop,direct,11,4,0,45.55,0,1,0
CART_01420,150,26,2,195.92,4,1,0,mobile,email,10,2,0,5.77,0,1,1
CART_01421,647,30,5,847.9,5,1,0,tablet,paid,19,1,0,21.57,0,0,0
CART_01422,510,28,4,179.94,1,0,0,desktop,organic,11,6,0,18.21,0,1,0
CART_01423,562,22,6,373.06,6,0,0,mobile,organic,5,3,0,25.55,1,0,0
CART_01424,470,14,4,358.85,6,0,1,desktop,organic,21,0,21,33.57,0,0,1
CART_01425,310,6,2,147.57,1,1,0,desktop,paid,17,2,0,51.67,0,1,1
CART_01426,963,26,2,328.93,3,0,1,mobile,email,15,0,43,37.04,0,0,1
CART_01427,1651,14,3,387.29,3,0,1,desktop,email,14,3,11,117.93,0,1,1
CART_01428,590,4,1,92.23,1,0,0,mobile,organic,22,2,0,147.5,1,0,0
CART_01429,1083,21,5,378.18,6,0,0,tablet,organic,15,6,0,51.57,1,0,0
CART_01430,265,7,2,309.41,4,1,0,mobile,organic,22,6,0,37.86,0,0,1
CART_01431,91,6,2,58.66,2,1,0,desktop,paid,22,1,0,15.17,0,1,0
CART_01432,1625,16,2,238.29,2,0,1,mobile,paid,11,6,47,101.56,0,0,0
CART_01433,1688,25,1,120.59,3,1,0,mobile,organic,19,4,0,67.52,0,0,1
CART_01434,481,12,3,154.92,2,1,1,desktop,direct,1,3,31,40.08,0,1,1
CART_01435,1633,16,2,158.4,1,0,0,desktop,paid,6,3,0,102.06,0,0,1
CART_01436,475,18,2,344.21,4,0,1,mobile,organic,2,6,8,26.39,0,1,1
CART_01437,1616,9,3,309.4,4,0,0,desktop,email,4,1,0,179.56,0,0,1
CART_01438,1478,30,1,172.13,3,1,0,mobile,direct,8,1,0,49.27,1,0,0
CART_01439,1312,22,3,374.18,2,1,0,desktop,paid,12,1,0,59.64,0,1,0
CART_01440,1726,8,3,490.61,5,0,0,tablet,organic,2,6,0,215.75,0,0,0
CART_01441,32,8,2,64.5,4,0,0,mobile,direct,9,6,0,4.0,0,0,1
CART_01442,841,6,1,142.84,3,1,0,mobile,email,7,4,0,140.17,0,0,0
CART_01443,760,2,3,436.42,3,0,0,mobile,organic,20,5,0,380.0,1,1,1
CART_01444,897,11,3,378.25,3,1,1,mobile,organic,23,3,47,81.55,0,1,1
CART_01445,21,26,4,99.73,2,1,1,mobile,paid,21,0,21,0.81,1,0,1
CART_01446,433,3,3,119.09,5,1,0,mobile,organic,19,3,0,144.33,0,0,0
CART_01447,357,3,6,559.82,4,0,0,mobile,organic,19,6,0,119.0,0,1,1
CART_01448,1106,19,2,141.91,4,0,0,mobile,direct,7,6,0,58.21,0,1,0
CART_01449,1254,4,3,197.84,1,0,1,desktop,email,0,4,41,313.5,0,1,1
CART_01450,1220,4,1,22.54,1,0,0,desktop,organic,12,2,0,305.0,1,1,0
CART_01451,307,1,2,264.62,4,0,0,mobile,email,17,5,0,307.0,0,1,0
CART_01452,879,3,2,132.14,2,0,0,mobile,paid,1,2,0,293.0,0,0,0
CART_01453,1533,19,1,47.86,3,0,1,mobile,organic,14,3,27,80.68,0,0,1
CART_01454,441,11,2,155.45,1,0,0,desktop,organic,5,2,0,40.09,0,0,0
CART_01455,1767,3,2,107.47,3,0,1,mobile,direct,17,6,11,589.0,0,0,1
CART_01456,1563,11,3,167.77,3,0,1,mobile,organic,7,2,26,142.09,0,1,0
CART_01457,1226,20,1,108.95,2,0,0,desktop,organic,8,2,0,61.3,0,0,0
CART_01458,1733,22,1,101.76,3,0,1,desktop,email,18,2,37,78.77,1,1,1
CART_01459,1335,18,8,1003.09,5,0,1,mobile,email,5,0,47,74.17,0,1,0
CART_01460,1000,28,1,43.6,1,0,0,desktop,paid,11,1,0,35.71,0,0,0
CART_01461,277,25,4,147.06,1,1,0,mobile,organic,13,6,0,11.08,1,1,1
CART_01462,1529,5,2,301.58,3,1,0,mobile,paid,14,2,0,305.8,0,1,0
CART_01463,1407,21,1,111.09,3,0,0,mobile,paid,2,4,0,67.0,0,1,0
CART_01464,832,11,1,57.8,3,1,0,mobile,organic,17,2,0,75.64,1,0,1
CART_01465,1777,2,6,823.45,2,1,1,mobile,paid,13,1,12,888.5,0,1,1
CART_01466,1660,22,2,274.68,4,0,1,desktop,direct,1,4,15,75.45,0,0,0
CART_01467,801,9,5,544.49,5,0,0,desktop,direct,2,5,0,89.0,1,0,0
CART_01468,445,10,1,178.94,3,1,0,desktop,organic,11,0,0,44.5,0,0,1
CART_01469,709,25,1,44.89,3,0,0,desktop,organic,6,1,0,28.36,0,1,0
CART_01470,461,4,1,109.65,2,0,1,mobile,organic,8,3,15,115.25,0,1,1
CART_01471,41,27,3,225.77,4,0,1,mobile,email,19,2,45,1.52,1,1,0
CART_01472,374,29,1,24.25,2,0,1,mobile,organic,15,1,48,12.9,0,1,1
CART_01473,159,15,1,104.13,3,0,1,tablet,direct,0,0,46,10.6,0,0,1
CART_01474,1687,15,1,76.59,3,0,1,desktop,organic,17,3,11,112.47,0,0,0
CART_01475,553,27,2,193.41,4,1,0,desktop,paid,5,2,0,20.48,0,0,1
CART_01476,1308,16,2,290.24,2,0,1,mobile,email,4,2,35,81.75,0,1,1
CART_01477,1479,10,1,140.11,3,0,0,desktop,direct,7,3,0,147.9,0,1,1
CART_01478,116,3,1,36.45,1,0,1,desktop,organic,22,2,37,38.67,0,1,0
CART_01479,171,29,1,166.19,3,0,0,desktop,direct,22,0,0,5.9,0,1,0
CART_01480,1442,9,2,234.41,3,1,0,desktop,organic,3,3,0,160.22,0,0,1
CART_01481,354,6,1,107.0,1,0,1,tablet,direct,12,1,32,59.0,0,1,1
CART_01482,1535,7,4,186.96,6,1,1,desktop,paid,9,2,17,219.29,0,1,1
CART_01483,1208,20,4,389.4,3,1,0,desktop,organic,0,6,0,60.4,0,0,0
CART_01484,408,11,1,141.4,3,0,0,desktop,direct,5,3,0,37.09,0,0,0
CART_01485,398,9,3,249.99,4,0,0,mobile,email,5,2,0,44.22,0,0,0
CART_01486,76,5,1,148.57,3,0,1,desktop,organic,18,2,6,15.2,0,1,1
CART_01487,1455,22,2,134.22,4,0,1,mobile,organic,23,6,50,66.14,0,1,1
CART_01488,903,2,3,517.21,4,1,0,desktop,direct,0,5,0,451.5,0,0,0
CART_01489,109,2,3,421.34,3,0,1,mobile,organic,5,0,13,54.5,0,1,0
CART_01490,1067,10,3,229.2,5,0,1,mobile,direct,4,6,10,106.7,1,1,1
CART_01491,244,19,5,160.78,5,0,0,mobile,paid,9,2,0,12.84,0,1,0
CART_01492,1039,17,1,109.05,3,0,0,desktop,organic,16,2,0,61.12,0,0,0
CART_01493,1546,25,4,554.3,1,0,0,desktop,organic,21,1,0,61.84,0,1,1
CART_01494,150,23,1,17.82,1,0,1,desktop,organic,3,2,28,6.52,0,1,0
CART_01495,984,3,4,631.46,5,0,0,tablet,paid,19,4,0,328.0,0,1,0
CART_01496,1145,24,2,95.72,1,1,1,mobile,direct,0,5,45,47.71,0,1,1
CART_01497,416,11,1,41.61,3,0,1,mobile,organic,20,0,1,37.82,0,1,1
CART_01498,1152,12,2,30.63,4,1,1,desktop,email,5,5,16,96.0,0,0,0
CART_01499,956,27,2,172.62,4,0,0,mobile,paid,17,1,0,35.41,0,1,0
CART_01500,1010,27,5,243.17,4,0,0,desktop,direct,3,5,0,37.41,1,1,0
CART_01501,908,8,1,90.05,3,0,0,desktop,direct,2,1,0,113.5,0,1,1
CART_01502,1127,22,3,120.42,5,0,0,mobile,email,14,5,0,51.23,0,0,0
CART_01503,60,23,6,818.92,4,0,0,mobile,organic,20,0,0,2.61,0,1,0
CART_01504,1090,18,1,163.31,1,0,0,mobile,paid,2,4,0,60.56,0,1,0
CART_01505,1235,12,5,648.2,4,0,0,tablet,organic,22,2,0,102.92,0,1,0
CART_01506,820,23,3,407.28,4,0,0,desktop,organic,12,6,0,35.65,0,1,1
CART_01507,1058,20,1,48.68,3,0,0,desktop,organic,7,4,0,52.9,0,1,0
CART_01508,1784,19,3,483.86,5,1,0,desktop,direct,19,3,0,93.89,0,1,1
CART_01509,1171,1,2,160.8,1,0,0,mobile,direct,21,3,0,1171.0,0,1,1
CART_01510,1663,7,1,172.35,3,0,1,desktop,organic,14,1,40,237.57,0,1,1
CART_01511,1112,26,1,110.95,1,0,0,tablet,organic,0,2,0,42.77,0,0,0
CART_01512,370,11,4,638.05,1,0,1,mobile,paid,4,3,39,33.64,0,1,1
CART_01513,1114,9,1,104.82,3,0,0,desktop,email,17,4,0,123.78,1,1,0
CART_01514,505,18,1,149.44,3,0,1,desktop,organic,23,0,43,28.06,0,0,1
CART_01515,46,12,5,443.84,1,1,0,desktop,organic,12,6,0,3.83,1,1,0
CART_01516,813,12,1,174.76,3,1,1,desktop,paid,14,4,50,67.75,0,0,0
CART_01517,1496,30,1,140.59,1,0,0,mobile,paid,20,6,0,49.87,0,1,1
CART_01518,625,9,3,68.56,3,0,1,mobile,organic,1,3,49,69.44,0,0,1
CART_01519,357,12,5,750.26,3,0,0,tablet,paid,4,0,0,29.75,0,0,0
CART_01520,397,6,1,85.2,2,1,1,mobile,paid,20,5,39,66.17,1,1,0
CART_01521,610,18,2,158.3,4,0,0,mobile,paid,13,2,0,33.89,0,1,1
CART_01522,300,3,1,95.7,3,0,0,desktop,paid,22,6,0,100.0,0,1,0
CART_01523,1799,3,1,45.5,1,0,0,mobile,organic,20,1,0,599.67,0,1,0
CART_01524,1284,8,2,210.04,3,0,0,mobile,direct,10,1,0,160.5,0,1,1
CART_01525,851,4,1,156.77,1,0,0,mobile,direct,2,3,0,212.75,0,1,1
CART_01526,937,9,1,113.88,3,0,1,mobile,paid,20,1,4,104.11,0,0,0
CART_01527,1636,27,4,255.23,4,1,1,desktop,direct,18,3,29,60.59,0,0,1
CART_01528,419,8,2,206.32,1,0,1,mobile,organic,2,5,39,52.38,0,0,1
CART_01529,991,17,1,169.5,3,0,0,mobile,paid,2,2,0,58.29,1,0,0
CART_01530,1421,11,4,346.96,1,0,0,mobile,organic,13,2,0,129.18,1,0,0
CART_01531,1068,4,4,397.83,5,0,1,desktop,paid,6,2,21,267.0,0,0,1
CART_01532,834,26,1,41.83,3,0,1,desktop,paid,12,1,6,32.08,0,1,0
CART_01533,127,11,2,350.65,4,0,0,desktop,paid,1,0,0,11.55,0,1,1
CART_01534,1420,27,1,164.48,3,0,0,mobile,organic,19,3,0,52.59,1,1,0
CART_01535,1078,25,1,169.75,3,0,1,mobile,organic,19,5,19,43.12,0,0,1
CART_01536,1320,11,4,647.29,6,0,1,desktop,email,16,5,11,120.0,0,1,1
CART_01537,1267,18,3,274.07,5,0,0,mobile,organic,4,2,0,70.39,0,0,0
CART_01538,1557,11,1,17.37,3,0,1,tablet,paid,10,6,39,141.55,0,1,1
CART_01539,234,17,1,179.16,1,1,1,mobile,direct,16,4,14,13.76,1,1,1
CART_01540,1728,16,2,231.22,4,1,0,mobile,direct,0,6,0,108.0,0,1,1
CART_01541,361,28,4,438.09,1,0,0,desktop,email,4,4,0,12.89,0,1,0
CART_01542,1365,27,3,89.27,3,0,0,desktop,organic,23,3,0,50.56,0,1,0
CART_01543,269,4,1,138.11,3,1,1,mobile,organic,17,1,43,67.25,0,1,0
CART_01544,893,24,1,35.01,1,0,0,mobile,paid,17,6,0,37.21,0,1,1
CART_01545,1483,7,1,37.38,3,1,0,mobile,organic,22,6,0,211.86,1,1,0
CART_01546,734,23,5,140.06,5,0,0,mobile,paid,11,1,0,31.91,0,1,0
CART_01547,901,27,7,1232.94,1,0,1,desktop,paid,7,0,1,33.37,0,1,0
CART_01548,1637,12,2,91.36,1,1,0,desktop,organic,21,4,0,136.42,0,1,1
CART_01549,1135,6,1,19.65,3,0,1,tablet,paid,0,2,33,189.17,0,1,0
CART_01550,864,22,1,149.81,1,1,1,mobile,direct,14,2,34,39.27,1,0,0
CART_01551,784,2,1,151.66,1,1,1,desktop,paid,4,3,35,392.0,0,1,0
CART_01552,229,28,1,156.44,3,0,1,mobile,organic,16,6,10,8.18,0,1,1
CART_01553,876,2,2,219.79,4,0,0,desktop,email,21,6,0,438.0,0,0,0
CART_01554,589,28,1,103.54,3,0,0,tablet,paid,11,0,0,21.04,0,0,0
CART_01555,948,4,2,309.13,3,0,1,mobile,direct,17,4,50,237.0,1,0,0
CART_01556,1717,25,4,571.94,1,1,0,desktop,direct,16,0,0,68.68,0,0,0
CART_01557,459,8,7,361.92,4,0,1,mobile,direct,8,0,31,57.38,0,1,1
CART_01558,1324,27,6,281.07,4,0,1,desktop,organic,4,2,1,49.04,1,1,1
CART_01559,194,8,4,629.16,5,1,1,tablet,organic,4,0,3,24.25,0,1,1
CART_01560,224,9,3,460.24,5,1,1,mobile,direct,7,6,2,24.89,0,0,1
CART_01561,315,5,1,119.66,3,0,1,mobile,paid,23,4,40,63.0,0,0,1
CART_01562,784,6,2,97.55,1,0,0,tablet,email,5,2,0,130.67,0,0,1
CART_01563,1716,18,1,31.45,3,1,0,desktop,direct,13,0,0,95.33,1,1,0
CART_01564,330,2,2,245.42,1,1,1,mobile,paid,12,6,31,165.0,0,0,1
CART_01565,972,11,2,40.29,4,0,1,mobile,paid,7,1,37,88.36,1,1,1
CART_01566,408,3,2,233.06,1,0,0,tablet,organic,6,4,0,136.0,1,1,0
CART_01567,400,5,1,79.32,1,1,0,desktop,paid,22,6,0,80.0,0,1,1
CART_01568,990,3,2,210.56,1,0,0,mobile,paid,4,6,0,330.0,0,1,0
CART_01569,390,11,2,35.08,2,0,1,mobile,organic,23,5,9,35.45,0,1,0
CART_01570,789,6,3,279.86,5,1,0,mobile,direct,20,2,0,131.5,0,1,1
CART_01571,1161,24,2,300.05,1,0,1,mobile,organic,11,6,9,48.38,0,1,0
CART_01572,246,22,1,32.54,3,0,0,mobile,organic,2,1,0,11.18,0,0,0
CART_01573,867,18,1,115.1,3,0,0,mobile,direct,16,5,0,48.17,0,0,0
CART_01574,550,15,2,118.85,1,0,1,tablet,email,17,0,25,36.67,0,0,0
CART_01575,109,10,2,58.3,1,0,1,mobile,paid,6,3,3,10.9,0,0,0
CART_01576,570,18,1,53.03,3,0,0,mobile,organic,16,1,0,31.67,0,0,1
